UPM,HVIVIEN,HHOGAR,ECODE2,HZONA,ESTRATO,REGION,HLINEA,P202,P203,P205,P206,P207,P208,P209,P210,P301,P302,P303,P304,P305,P306,P307,P308,P401,P402,P403,P404,P405,P501,P502,P503,ESTRATOREG,FEXPANSION,FPONDERACION,grup_sec
1,1,1,211,1,1,10,1,1,53,1,1,1,2, ,23,2,2,2,2,2,1,2, ,2,2,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,3
1,1,1,211,1,1,10,2,2,58,2,1,1,2, ,17,1,2,2,5,2,2,2, ,2,2,2,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,3
1,2,1,211,1,1,10,1,2,40,1,1,1,6, ,22,1,2,3,4,2,96,2, ,2,2,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,3
1,2,1,211,1,1,10,2,2,52,4,1,1,6, ,16,1,2,2,6,2,6,2, ,2,2,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,3
1,2,1,211,1,1,10,3,1,11,3,1,1, , , ,1,1,2,3,1, , , ,2,2,2,1,1, , , ,10.1,741.823067716677,2.06905680929178,3
1,2,1,211,1,1,10,4,2,6,3,1,1, , , ,2,1,2,1,1, , , ,2,2,2,2,2, , , ,10.1,741.823067716677,2.06905680929178,3
1,3,1,211,1,1,10,1,2,45,1,1,1,6, ,17,1,2,2,8,2,2,2, ,2,2,1,1,1,1,2,9,10.1,741.823067716677,2.06905680929178,3
1,3,1,211,1,1,10,2,1,24,3,1,1,7,2, ,1,2,3,4,2,1,2, ,2,1,1,1,1,1,2,13,10.1,741.823067716677,2.06905680929178,3
1,3,1,211,1,1,10,3,1,11,3,1,1, , , ,1,1,2,4,1, , , ,2,2,2,1,1, , , ,10.1,741.823067716677,2.06905680929178,3
1,4,1,211,1,1,10,1,2,54,1,1,1,3, ,22,1,2,4,4,2,8,2,99,1,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,4,1,211,1,1,10,2,1,24,3,1,1,7,2, ,1,1,4,3,2, , , ,1,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,4,1,211,1,1,10,3,2,28,3,1,1,6, ,26,1,1,4,6,2, , , ,1,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,5,1,211,1,1,10,1,2,27,1,1,1,6, ,19,1,2,3,4,2,3,2, ,2,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,3
1,5,1,211,1,1,10,2,2,1,3,1,1, , , , , , , , , , , , , , , , , , , ,10.1,741.823067716677,2.06905680929178,3
1,7,1,211,1,1,10,1,1,47,1,1,2,2, ,14,1,2,2,4,2,1,2, ,2,2,2,1,1,3, , ,10.1,741.823067716677,2.06905680929178,2
1,7,1,211,1,1,10,2,2,32,2,2,1,2, ,14,1,2,2,7,2,1,2, ,2,2,1,1,1,3, , ,10.1,741.823067716677,2.06905680929178,2
1,7,1,211,1,1,10,3,2,14,3,2,1, , , ,1,1,2,1,1, , , ,2,2,2,1,1, , , ,10.1,741.823067716677,2.06905680929178,2
1,7,1,211,1,1,10,4,2,6,3,1,2, , , ,2,3, , , , , , ,2,2,2,1,2, , , ,10.1,741.823067716677,2.06905680929178,2
1,8,1,211,1,1,10,1,1,57,1,1,1,1, ,24,1,2,2,7,2,1,2, ,2,2,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,8,1,211,1,1,10,2,2,59,2,1,1,1, ,19,1,2,3,3,2,3,2, ,2,2,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,8,1,211,1,1,10,3,2,24,3,1,1,6, ,22,1,2,4,2,2,6,3,99,2,1,1,1,1,1,2,8,10.1,741.823067716677,2.06905680929178,4
1,8,1,211,1,1,10,4,1,9,5,1,1, , , ,2,1,2,2,1, , , ,2,2,2,2,2, , , ,10.1,741.823067716677,2.06905680929178,4
1,8,1,211,1,1,10,5,1,8,5,1,1, , , ,1,1,2,2,1, , , ,2,2,2,2,2, , , ,10.1,741.823067716677,2.06905680929178,4
1,8,1,211,1,1,10,6,2,5,5,1,1, , , ,2,1,2,1,1, , , ,2,2,2,2,2, , , ,10.1,741.823067716677,2.06905680929178,4
1,8,1,211,1,1,10,7,2,0,5,1,1, , , , , , , , , , , , , , , , , , , ,10.1,741.823067716677,2.06905680929178,4
1,10,1,211,1,1,10,1,1,48,1,1,1,2, ,27,1,2,4,4,2,8,2,99,1,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,10,1,211,1,1,10,2,2,39,2,1,1,2, ,22,1,2,3,4,2,2,2, ,2,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
1,10,1,211,1,1,10,3,1,20,3,1,1,7,2, ,1,1,4,2,2, , , ,2,1,1,1,1,1,1, ,10.1,741.823067716677,2.06905680929178,4
